waveform	ACC1_X	ACC1_Y	ACC2_X
t0	12/22/2016  16:29:28.870620	12/22/2016  16:29:28.870641	12/22/2016  16:29:28.870662
delta t	0.010000	0.010000	0.010000

time	ACC1_X	ACC1_Y	ACC2_X
12/22/2016  16:29:29.960620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:29.970620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:29.980620	1.640469E+0	1.304330E+0	1.589523E+0
12/22/2016  16:29:29.990620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.000620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.010620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.020620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.030620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.040620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.050620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.060620	1.640469E+0	1.294138E+0	1.579332E+0
12/22/2016  16:29:30.070620	1.640469E+0	1.304330E+0	1.589523E+0
12/22/2016  16:29:30.080620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.090620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.100620	1.650661E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.110620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.120620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.130620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.140620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.150620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.160620	1.640469E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.170620	1.650661E+0	1.304330E+0	1.579332E+0
12/22/2016  16:29:30.180620	1.640469E+0	1.304330E+0	1.579332E+0
